LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
279.0,RGI60-06.00002,138.0,-23.77,64.8,2.0,2.05,1.0
280.0,RGI60-06.00481,139.0,-16.88,64.12,30.0,10.54,1.0
281.0,RGI60-06.00479,140.0,-16.8,64.08,85.0,18.38,1.0
282.0,RGI60-07.00593,145.0,16.27,78.68,3.91,5.49,1.0
283.0,RGI60-07.00585,146.0,16.82,78.75,3.81,5.65,1.0
284.0,RGI60-07.00584,147.0,16.95,78.73,20.4,8.41,1.0
285.0,RGI60-07.00569,148.0,16.38,78.68,0.36,1.72,1.0
286.0,RGI60-07.00626,149.0,16.33,78.7,1.6,3.67,2.0
287.0,RGI60-07.01490,151.0,16.67,78.77,4.26,4.73,1.0
288.0,RGI60-07.00619,153.0,16.02,78.7,0.96,3.11,2.0
289.0,RGI60-07.01489,154.0,16.73,78.75,6.65,6.03,1.0
290.0,RGI60-07.00570,152.0,17.18,78.7,242.0,29.23,1.0
291.0,RGI60-17.04103,434.0,-73.2,-52.83,15.06,8.39,2.0
292.0,RGI60-17.04109,431.0,-73.17,-52.82,3.1,3.01,1.0
293.0,RGI60-17.04101,433.0,-73.23,-52.83,15.06,9.51,1.0
294.0,RGI60-17.04139,432.0,-73.15,-52.8,30.91,11.09,2.0
297.0,RGI60-05.00623,65.0,-53.53,69.32,5.73,3.85,1.0
298.0,RGI60-05.00608,133.0,-53.36,69.32,3.08,2.0,1.0
299.0,RGI60-05.00602,99.0,-53.42,69.3,1.46,1.95,2.0
300.0,RGI60-18.01890,450.0,170.07,-43.67,0.6,1.25,2.0
301.0,RGI60-16.01616,390.0,-98.62,19.02,0.44,0.99,2.0
302.0,RGI60-17.02143,426.0,-68.42,-54.78,1.0,0.86,2.0
303.0,RGI60-17.12367,401.0,-71.83,-41.18,8.01,5.4,2.0
304.0,RGI60-17.01218,402.0,-70.37,-34.55,39.98,11.88,2.0
305.0,RGI60-17.12378,400.0,-71.87,-41.13,7.0,6.89,1.0
307.0,RGI60-01.20818,50.0,-136.58,58.67,1.99,3.31,1.0
308.0,RGI60-02.14131,48.0,-123.6,47.77,0.6,1.44,1.0
309.0,RGI60-02.14080,37.0,-123.67,47.82,0.41,1.08,2.0
310.0,RGI60-02.14004,36.0,-123.7,47.78,1.1,1.92,1.0
311.0,RGI60-13.08552,339.0,77.1,42.85,6.9,4.99,1.0
312.0,RGI60-13.08545,349.0,77.05,42.83,3.2,4.06,1.0
313.0,RGI60-14.20030,347.0,74.72,35.23,21.65,12.02,1.0
315.0,RGI60-07.00492,158.0,12.0,78.67,2.59,3.83,1.0
316.0,RGI60-15.12613,341.0,96.82,29.13,29.5,21.25,1.0
318.0,RGI60-17.14202,413.0,-70.03,-32.61,,8.39,1.0
319.0,RGI60-17.14237,447.0,-69.99,-32.55,,6.84,2.0
321.0,RGI60-17.00466,395.0,-70.55,-35.29,,3.31,2.0
322.0,RGI60-12.00193,294.0,41.53,43.28,5.4,4.67,1.0
323.0,RGI60-12.00031,299.0,42.7,43.13,11.3,7.56,1.0
324.0,RGI60-12.00577,301.0,43.18,42.98,34.0,14.35,2.0
325.0,RGI60-13.54431,351.0,72.33,38.71,156.0,77.27,2.0
327.0,RGI60-12.01297,311.0,41.85,43.23,2.7,3.98,1.0
329.0,RGI60-13.17627,356.0,70.45,39.25,5.9,4.2,2.0
330.0,RGI60-12.00940,313.0,43.72,42.63,,3.02,2.0
331.0,RGI60-12.00328,315.0,44.37,42.55,1.8,2.29,2.0
332.0,RGI60-10.01167,198.0,87.44,50.05,4.8,5.35,1.0
333.0,RGI60-13.17591,366.0,70.45,39.17,6.6,5.64,2.0
335.0,RGI60-13.17785,369.0,70.58,39.62,21.4,11.63,1.0
336.0,RGI60-07.01071,157.0,15.05,77.95,10.9,5.97,1.0
337.0,RGI60-12.00807,323.0,42.47,43.13,3.75,3.21,1.0
339.0,RGI60-12.01302,327.0,43.82,42.77,1.3,2.3,2.0
340.0,RGI60-12.00158,332.0,41.87,43.23,0.5,1.52,2.0
342.0,RGI60-13.06563,334.0,77.96,42.01,4.4,4.85,1.0
343.0,RGI60-13.06424,335.0,78.18,42.04,6.3,5.89,1.0
344.0,RGI60-13.06564,336.0,77.97,42.0,4.9,3.88,1.0
345.0,RGI60-13.06567,337.0,77.97,41.99,4.1,4.97,1.0
346.0,RGI60-13.06566,338.0,77.96,41.98,3.3,2.64,2.0
347.0,RGI60-13.06426,340.0,78.16,42.04,6.0,6.04,1.0
348.0,RGI60-13.07952,344.0,77.9,41.97,6.6,4.38,1.0
349.0,RGI60-13.06741,354.0,77.92,41.96,9.4,3.76,2.0
350.0,RGI60-13.07891,357.0,78.28,42.08,26.2,13.04,1.0
351.0,RGI60-13.06740,363.0,77.93,41.99,8.6,6.07,1.0
352.0,RGI60-12.01061,296.0,42.53,43.37,12.69,7.48,2.0
353.0,RGI60-12.00188,297.0,42.4,43.37,2.03,3.13,1.0
355.0,RGI60-12.00161,305.0,42.47,43.3,3.29,3.9,1.0
356.0,RGI60-12.00730,307.0,42.5,43.33,10.55,9.06,1.0
357.0,RGI60-12.00345,308.0,42.53,43.33,1.8,3.47,1.0
358.0,RGI60-12.01124,309.0,42.45,43.38,5.68,6.35,1.0
359.0,RGI60-12.00479,314.0,42.38,43.35,6.84,7.3,1.0
360.0,RGI60-12.00168,316.0,42.45,43.28,9.28,7.04,1.0
362.0,RGI60-12.00821,324.0,42.48,43.3,8.11,6.47,1.0
363.0,RGI60-12.00014,328.0,42.43,43.38,11.66,6.3,1.0
364.0,RGI60-12.00507,330.0,42.47,43.38,2.37,5.32,2.0
365.0,RGI60-12.00610,331.0,42.48,43.38,2.41,5.88,1.0
366.0,RGI60-14.20156,365.0,74.59,35.33,39.0,14.83,1.0
367.0,RGI60-16.01447,378.0,-68.12,-16.36,0.23,0.6,2.0
368.0,RGI60-16.00539,379.0,-68.19,-16.28,0.11,0.51,2.0
370.0,RGI60-16.00545,381.0,-68.15,-16.3,0.52,1.6,2.0
371.0,RGI60-16.00679,384.0,-68.32,-16.05,0.35,0.86,2.0
372.0,RGI60-16.00618,391.0,-68.3,-16.05,0.34,0.85,1.0
373.0,RGI60-16.00546,392.0,-68.14,-16.3,2.36,3.22,2.0
374.0,RGI60-08.00188,173.0,18.48,67.9,3.7,4.53,1.0
376.0,RGI60-17.05091,438.0,-72.97,-49.27,5.6,5.77,1.0
378.0,RGI60-17.05217,422.0,-72.9,-49.07,1.92,2.43,2.0
380.0,RGI60-05.20030,70.0,-20.83,74.38,5.6,6.7,1.0
381.0,RGI60-01.10907,18.0,-146.2,61.3,199.0,35.2,1.0
382.0,RGI60-01.01854,16.0,-145.2,60.6,56.8,13.0,1.0
383.0,RGI60-11.00638,262.0,9.38,46.95,0.21,0.63,2.0
384.0,RGI60-11.01987,206.0,8.47,46.42,1.5,2.42,1.0
385.0,RGI60-11.00848,287.0,10.07,46.84,1.27,2.18,1.0
386.0,RGI60-11.01222,266.0,8.15,46.65,6.14,5.21,1.0
387.0,RGI60-14.15447,343.0,77.69,32.15,137.0,28.18,1.0
388.0,RGI60-15.02703,371.0,88.23,27.71,41.2,28.63,1.0
389.0,RGI60-08.01124,159.0,7.03,61.65,23.0,4.66,2.0
390.0,RGI60-08.01131,170.0,7.24,61.78,12.0,8.82,1.0
397.0,RGI60-01.01921,2.0,-144.93,69.28,1.44,2.94,1.0
398.0,RGI60-01.02170,4.0,-144.33,69.3,5.38,6.63,1.0
399.0,RGI60-01.02169,8.0,-144.18,69.29,4.96,6.26,1.0
400.0,RGI60-01.02190,13.0,-144.18,69.15,9.12,8.76,1.0
401.0,RGI60-01.02191,14.0,-144.15,69.17,0.48,1.58,1.0
402.0,RGI60-05.02117,63.0,-52.07,70.52,13.2,8.14,1.0
403.0,RGI60-05.01108,61.0,-54.5,69.64,3.43,3.42,1.0
404.0,RGI60-05.00354,80.0,-52.09,65.85,8.77,5.35,1.0
405.0,RGI60-05.04718,94.0,-45.9,60.99,1.17,2.05,1.0
406.0,RGI60-05.00304,110.0,-51.92,65.95,57.0,15.42,1.0
407.0,RGI60-05.00275,117.0,-52.61,65.87,4.27,3.85,1.0
408.0,RGI60-05.01659,118.0,-51.7,70.08,8.83,6.78,1.0
409.0,RGI60-05.02112,119.0,-52.15,70.52,20.33,11.55,1.0
411.0,RGI60-05.00793,121.0,-52.4,66.28,79.07,20.85,1.0
412.0,RGI60-05.00790,124.0,-52.38,66.37,19.08,8.58,2.0
413.0,RGI60-05.02129,131.0,-51.88,70.47,15.46,9.64,1.0
414.0,RGI60-05.02123,134.0,-51.98,70.47,39.9,15.82,1.0
415.0,RGI60-05.03779,93.0,-45.27,60.3,1.97,2.97,1.0
416.0,RGI60-05.04255,122.0,-44.16,60.54,23.8,12.47,1.0
417.0,RGI60-05.04866,91.0,-45.03,61.15,1.43,2.91,1.0
418.0,RGI60-15.06720,360.0,80.05,30.43,53.95,18.07,2.0
419.0,RGI60-05.11158,89.0,-37.08,65.68,17.6,8.33,2.0
421.0,RGI60-01.18087,6.0,-149.78,60.17,31.94,11.2,1.0
422.0,RGI60-01.18055,7.0,-150.98,59.58,71.73,19.36,1.0
423.0,RGI60-01.17955,12.0,-150.73,59.66,14.36,7.62,1.0
424.0,RGI60-01.09162,19.0,-148.9,60.42,18.56,8.02,1.0
425.0,RGI60-01.09761,17.0,-148.55,60.67,21.2,13.5,1.0
426.0,RGI60-01.09471,5.0,-148.77,60.0,129.59,25.33,1.0
427.0,RGI60-01.17988,20.0,-150.73,59.48,50.05,15.14,1.0
428.0,RGI60-01.17803,1.0,-149.63,59.99,149.28,35.33,1.0
429.0,RGI60-01.17880,3.0,-150.48,59.73,59.47,22.74,1.0
430.0,RGI60-01.17876,10.0,-150.22,59.77,118.76,15.96,1.0
431.0,RGI60-01.17843,11.0,-150.05,59.87,161.54,29.65,2.0
432.0,RGI60-11.02916,263.0,7.04,45.91,3.1,3.74,1.0
433.0,RGI60-17.12055,405.0,-72.02,-42.13,11.6,6.1,1.0
436.0,RGI60-02.15508,41.0,-119.26,37.74,0.28,0.69,2.0
437.0,RGI60-02.15507,40.0,-119.27,37.74,0.14,0.55,2.0
440.0,RGI60-02.18787,27.0,-119.32,37.97,0.16,0.52,1.0
441.0,RGI60-02.18785,28.0,-118.68,37.17,0.12,0.44,1.0
442.0,RGI60-02.14905,39.0,-118.55,36.57,0.05,0.15,2.0
445.0,RGI60-02.14895,47.0,-118.51,36.56,0.08,0.46,2.0
446.0,RGI60-02.03687,22.0,-117.47,51.21,,2.12,2.0
447.0,RGI60-05.13890,100.0,-36.1,65.97,17.15,10.33,1.0
448.0,RGI60-05.11639,62.0,-36.33,66.05,3.73,4.18,1.0
449.0,RGI60-05.13907,82.0,-36.48,66.1,137.61,29.53,1.0
450.0,RGI60-05.13930,81.0,-36.68,66.09,179.21,28.66,1.0
451.0,RGI60-05.13878,72.0,-36.87,65.98,34.53,11.96,1.0
452.0,RGI60-05.11966,105.0,-37.22,66.38,42.28,17.12,1.0
453.0,RGI60-05.11755,83.0,-37.28,66.22,16.35,8.64,1.0
454.0,RGI60-05.11225,137.0,-38.22,65.83,10.8,7.28,2.0
455.0,RGI60-05.07169,98.0,-40.82,63.98,2.53,3.29,1.0
456.0,RGI60-05.07162,96.0,-40.87,63.93,125.4,13.71,1.0
457.0,RGI60-05.06792,87.0,-41.55,63.72,20.95,11.22,1.0
458.0,RGI60-05.07178,68.0,-41.18,63.75,10.59,5.96,1.0
459.0,RGI60-05.07005,136.0,-40.97,63.72,105.9,15.86,1.0
460.0,RGI60-05.07184,95.0,-40.57,63.7,19.95,5.12,1.0
461.0,RGI60-05.06817,116.0,-40.93,63.62,25.02,10.87,1.0
462.0,RGI60-05.06655,66.0,-40.82,63.55,3.28,3.74,1.0
463.0,RGI60-05.06653,67.0,-40.88,63.55,6.18,3.78,1.0
464.0,RGI60-05.06804,90.0,-40.98,63.55,6.04,4.54,1.0
465.0,RGI60-05.06821,88.0,-41.01,63.55,50.92,6.82,1.0
466.0,RGI60-05.06803,123.0,-41.27,63.57,60.08,10.44,1.0
467.0,RGI60-05.06699,79.0,-41.42,63.57,6.41,3.93,1.0
468.0,RGI60-05.06696,73.0,-41.47,63.58,6.87,4.23,1.0
469.0,RGI60-05.06703,74.0,-41.5,63.58,4.99,5.53,1.0
470.0,RGI60-05.06486,125.0,-41.73,63.45,34.22,10.68,1.0
471.0,RGI60-05.06513,78.0,-41.42,63.47,1.54,2.76,1.0
472.0,RGI60-05.06407,126.0,-41.65,63.35,6.43,5.91,1.0
473.0,RGI60-05.06401,135.0,-41.5,63.33,7.17,2.86,1.0
474.0,RGI60-05.06279,84.0,-41.43,63.3,1.8,3.78,2.0
475.0,RGI60-05.06303,75.0,-41.33,63.28,11.9,5.91,1.0
476.0,RGI60-05.06305,64.0,-41.45,63.28,8.51,7.49,1.0
477.0,RGI60-05.06222,111.0,-41.25,63.23,4.28,3.64,1.0
478.0,RGI60-05.06213,76.0,-41.18,63.25,1.7,2.63,1.0
479.0,RGI60-05.06210,77.0,-41.17,63.23,1.57,2.08,1.0
480.0,RGI60-05.06304,71.0,-41.55,63.3,3.51,4.39,1.0
481.0,RGI60-05.06245,132.0,-41.65,63.24,41.29,8.54,1.0
482.0,RGI60-05.06236,85.0,-41.53,63.18,30.63,11.72,1.0
483.0,RGI60-05.06122,112.0,-42.2,63.17,12.79,5.66,1.0
484.0,RGI60-05.06123,69.0,-42.18,63.15,3.65,4.19,1.0
485.0,RGI60-05.05833,106.0,-42.07,63.0,30.61,13.38,1.0
486.0,RGI60-05.05680,128.0,-42.78,62.72,11.43,7.89,1.0
487.0,RGI60-05.05700,127.0,-42.88,62.72,14.35,8.0,1.0
488.0,RGI60-05.05690,129.0,-42.98,62.73,8.45,7.25,1.0
489.0,RGI60-05.05684,130.0,-43.02,62.73,23.09,13.98,1.0
490.0,RGI60-05.05553,102.0,-42.63,62.58,2.53,3.5,1.0
491.0,RGI60-05.05544,113.0,-42.73,62.57,16.17,8.52,1.0
492.0,RGI60-05.05554,114.0,-42.6,62.55,4.83,5.36,1.0
493.0,RGI60-05.05532,107.0,-42.5,62.52,23.08,9.38,1.0
494.0,RGI60-05.05550,115.0,-42.87,62.5,13.38,7.91,1.0
495.0,RGI60-05.05338,108.0,-42.68,61.77,4.15,2.4,1.0
496.0,RGI60-05.05211,109.0,-42.75,61.56,28.19,9.58,1.0
497.0,RGI60-05.05327,103.0,-42.85,61.57,8.07,3.68,1.0
498.0,RGI60-05.05329,104.0,-42.92,61.57,15.43,7.2,1.0
499.0,RGI60-05.05195,101.0,-42.77,61.5,13.65,5.68,1.0
516.0,RGI60-09.00092,179.0,65.05,76.35,49.57,17.08,1.0
517.0,RGI60-09.00090,180.0,64.72,76.28,289.94,24.83,2.0
518.0,RGI60-09.00149,181.0,66.78,76.8,387.2,40.41,1.0
519.0,RGI60-09.00072,182.0,66.83,76.47,669.47,47.86,1.0
520.0,RGI60-09.00144,183.0,65.52,76.43,73.07,14.6,1.0
521.0,RGI60-09.00080,184.0,64.37,76.27,55.26,18.38,1.0
522.0,RGI60-09.00070,185.0,66.1,76.58,132.99,21.59,1.0
523.0,RGI60-09.00946,186.0,67.0,76.87,110.03,20.31,1.0
524.0,RGI60-09.00139,187.0,63.78,76.2,293.23,38.18,1.0
525.0,RGI60-09.00081,188.0,62.65,76.15,455.65,45.95,2.0
526.0,RGI60-09.00066,189.0,64.18,76.25,223.0,32.62,1.0
527.0,RGI60-09.00062,190.0,66.37,76.68,231.11,38.14,1.0
528.0,RGI60-09.00064,191.0,65.42,76.37,233.74,30.8,1.0
529.0,RGI60-12.01262,318.0,43.16,43.07,10.56,8.29,2.0
